zip,latitude,longitude,county,state,year,total_pop,male_pop,pct_male,female_pop,pct_female,total_employable_pop,full_time_employed_pop,pct_full_time_employed_pop,total_households,household_median_income,insurable_pop,insured_pop,pct_insured,uninsured_pop,adi_state_rank,adi_natl_rank,ca_doi_underserved_flag,tapestry_seg_nr,tapestry_seg_code,tapestry_seg_name,lifemode_code,lifemode_group,as_only,ed_only,inpatient,inpatient_from_ed,opioid_rx_count,pop_w_opioid_rx,tot_opioid_rx_fills,alz,can,cld,dia,htd,hyp,inj,liv,nep,oth,pnf,stk,sui,total_deaths,total_deaths_per_1000,alzheimers_deaths_per_1000,cancer_deaths_per_1000,clrd_deaths_per_1000,diabetes_deaths_per_1000,heart_disease_deaths_per_1000,hypertension_deaths_per_1000,accidental_deaths_per_1000,chronic_liver_disease_deaths_per_1000,nephrotic_diseases_deaths_per_1000,other_deaths_per_1000,pneumonia_and_influenza_deaths_per_1000,stroke_deaths_per_1000,suicide_deaths_per_1000,c2,c3,c4,c2_c4,as_per_1000,ed_per_1000,ip_per_1000,ip_via_ed_per_1000,c2_per_1000,c3_per_1000,c4_per_1000,c2_c4_per_1000,opioid_rx_per_1000,pop_w_opioid_rx_per_1000
91384,34.506627,-118.699048,Los Angeles,CA,2016,29676,17679,59.6,11997,40.4,21834,7975,53,7073,102744,23838,21938,92,1900,4.436862745,16.31686275,N,68,15,Unclassified,1,Affluent Estates,949,5509,973,998,8291,3056,8018,4,46,6,2,26,1,9,0,2,16,0,10,3,125,4.212157973,0.134789055,1.550074134,0.202183583,0.067394528,0.876128858,0.033697264,0.303275374,0,0.067394528,0.539156221,0,0.336972638,0.101091791,134,35,1584,1753,31.97870333,185.6382262,32.78743766,33.62986925,4.515433347,1.179404232,53.37646583,59.07130341,279.384014,102.9788381
91387,34.402509,-118.363427,Los Angeles,CA,2016,44106,21588,48.9,22518,51.1,29274,14601,64,13757,84930,44102,39855,90.4,4247,6.078194158,35.00885217,N,33,8A,City Lights,1,Affluent Estates,1593,12268,2109,1689,12876,5238,12524,7,49,12,7,42,1,9,5,2,22,3,9,5,173,3.922368839,0.158708566,1.11095996,0.272071827,0.158708566,0.952251394,0.022672652,0.20405387,0.113363261,0.045345304,0.498798349,0.068017957,0.20405387,0.113363261,7664,692,7845,16201,36.11753503,278.1480978,47.81662359,38.29410964,173.7632068,15.68947535,177.8669569,367.3196391,291.9330703,118.7593525
91390,34.545587,-118.420095,Los Angeles,CA,2016,20546,10745,52.3,9801,47.7,13925,6710,63.1,6475,108391,20447,19355,94.7,1092,3.603803487,11.52614897,N,3,1C,Boomburbs,1,Affluent Estates,763,3783,753,726,6114,2469,5900,8,24,9,3,25,4,5,2,1,15,2,6,6,110,5.353840164,0.389370194,1.168110581,0.438041468,0.146013823,1.216781855,0.194685097,0.243356371,0.097342548,0.048671274,0.730069113,0.097342548,0.292027645,0.292027645,132,6,928,1066,37.13618223,184.1234304,36.64946948,35.33534508,6.424608196,0.292027645,45.16694247,51.88357831,297.5761705,120.169376
91401,34.178483,-118.431791,Los Angeles,CA,2016,41019,20412,49.8,20607,50.2,28803,12617,57.3,14835,49153,41000,32383,79,8617,5.223853211,30.23355177,N,60,13A,International Marketplace,13,Next Wave,1665,14067,3332,2097,9025,4132,8690,17,47,12,5,64,3,3,8,3,32,7,14,5,220,5.363368195,0.414442088,1.145810478,0.292547356,0.121894732,1.560252566,0.073136839,0.073136839,0.195031571,0.073136839,0.780126283,0.170652624,0.341305249,0.121894732,2647,2218,6234,11099,40.59094566,342.9386382,81.23064921,51.12265048,64.53107097,54.07250299,151.9783515,270.5819254,220.0199907,100.7338063
91402,34.222506,-118.444689,Los Angeles,CA,2016,71765,35130,49,36635,51,47957,20467,60.3,18950,39095,71503,54879,76.8,16624,7.371402043,39.44475395,Y,61,13B,Las Casas,13,Next Wave,2520,32013,3681,3789,11730,5755,11365,16,73,13,9,69,5,17,12,3,56,18,23,3,317,4.417195011,0.222949906,1.017208946,0.181146799,0.125409322,0.961471469,0.069671846,0.236884275,0.167212429,0.041803107,0.780324671,0.250818644,0.32049049,0.041803107,35446,4668,32918,73032,35.11461019,446.0809587,51.29241274,52.7973246,493.9176479,65.04563506,458.6915627,1017.654846,163.4501498,80.19229429
91403,34.147149,-118.463365,Los Angeles,CA,2016,24579,11914,48.5,12665,51.5,16995,9347,64.6,11355,83241,24557,22450,91.4,2107,2.521409214,6.869647696,N,12,3C,Trendsetters,3,Uptown Individuals,1256,5724,1255,1426,6293,2950,5986,16,42,7,2,44,2,6,4,2,22,10,11,2,170,6.916473412,0.650962204,1.708775784,0.284795964,0.081370275,1.79014606,0.081370275,0.244110826,0.162740551,0.081370275,0.89507303,0.406851377,0.447536515,0.081370275,25676,2911,29192,57779,51.10053298,232.8817283,51.05984784,58.01700639,1044.631596,118.4344359,1187.68054,2350.746572,256.0315717,120.0211563
91405,34.199824,-118.447609,Los Angeles,CA,2016,54356,27145,49.9,27211,50.1,37117,16476,59.7,17213,39472,54048,41728,77.2,12320,6.423049046,29.58250785,Y,60,13A,International Marketplace,13,Next Wave,2027,24751,2798,3098,12356,5646,11818,24,61,15,8,78,6,10,6,4,39,16,10,1,278,5.11443079,0.441533593,1.122231216,0.275958496,0.147177864,1.434984178,0.110383398,0.183972331,0.110383398,0.073588932,0.717492089,0.294355729,0.183972331,0.018397233,28091,4293,32371,64755,37.2911914,455.3499154,51.47545809,56.99462801,516.7966738,78.97932151,595.5368313,1191.312827,227.3162116,103.8707778
91406,34.195685,-118.490752,Los Angeles,CA,2016,55385,28096,50.7,27289,49.3,37594,17963,62.6,18094,49764,55322,44964,81.3,10358,6.35602733,38.12420693,Y,60,13A,International Marketplace,13,Next Wave,2013,20540,2615,2635,11933,5306,11532,21,82,17,3,80,7,18,7,4,43,12,8,5,307,5.543017062,0.379164034,1.480545274,0.306942313,0.054166291,1.444434414,0.126388011,0.324997743,0.126388011,0.072221721,0.776383497,0.216665162,0.144443441,0.090277151,1374,202,4361,5937,36.34558093,370.8585357,47.2149499,47.5760585,24.80816105,3.647196894,78.73973097,107.1950889,215.4554482,95.80211249
91411,34.178522,-118.459234,Los Angeles,CA,2016,25290,12523,49.5,12767,50.5,17685,8014,57,9607,47126,24995,19810,79.3,5185,6.135369377,38.46512588,N,60,13A,International Marketplace,13,Next Wave,931,9310,1276,1339,5802,2584,5587,11,16,6,7,38,4,4,2,1,26,6,11,2,134,5.298536971,0.434954527,0.632661131,0.237247924,0.276789245,1.502570186,0.158165283,0.158165283,0.079082641,0.039541321,1.028074338,0.237247924,0.434954527,0.079082641,6517,6769,22989,36275,36.81296955,368.1296955,50.45472519,52.94582839,257.6907869,267.6551997,909.0154211,1434.361408,229.4187426,102.1747726
91423,34.148617,-118.433298,Los Angeles,CA,2016,34140,16667,48.8,17473,51.2,24160,13287,63.7,15246,81753,34027,30637,90,3390,2.863802783,8.375152551,N,12,3C,Trendsetters,3,Uptown Individuals,1459,6087,1358,1406,8963,3911,8467,17,51,9,6,54,4,2,1,2,29,10,6,5,196,5.741066198,0.497949619,1.493848858,0.263620387,0.175746924,1.58172232,0.117164616,0.058582308,0.029291154,0.058582308,0.849443468,0.292911541,0.175746924,0.14645577,8881,2272,9787,20940,42.73579379,178.2952548,39.77738723,41.18336262,260.1347393,66.54950205,286.6725249,613.3567663,262.5366139,114.5577036
91436,34.149588,-118.489708,Los Angeles,CA,2016,14353,6820,47.5,7533,52.5,8243,4318,67.6,5492,137683,14256,13793,96.8,463,1.22489083,2.027292576,N,1,1A,Top Tier,1,Affluent Estates,957,3014,761,839,3820,1909,3607,17,31,4,1,38,1,0,0,3,18,5,1,3,122,8.499965164,1.184421375,2.159827214,0.278687382,0.069671846,2.647530133,0.069671846,0,0,0.209015537,1.254093221,0.348359228,0.069671846,0.209015537,35354,5476,40061,80891,66.67595625,209.9909427,53.02027451,58.45467846,2463.17843,381.5230265,2791.123807,5635.825263,266.1464502,133.0035533
91501,34.2044,-118.287527,Los Angeles,CA,2016,20110,9679,48.1,10431,51.9,13494,6081,59.3,7598,61048,20110,17713,88.1,2397,3.935126582,13.81118143,N,33,8A,City Lights,8,Middle Ground,956,4555,906,1032,4105,1933,3969,12,32,5,4,32,3,4,0,3,31,4,12,2,144,7.160616609,0.596718051,1.591248135,0.248632521,0.198906017,1.591248135,0.149179513,0.198906017,0,0.149179513,1.541521631,0.198906017,0.596718051,0.099453008,3554,929,5625,10108,47.53853804,226.5042268,45.05221283,51.31775236,176.727996,46.19592243,279.7115863,502.6355047,204.1272999,96.12133267
